Timestamp,Survey,Job Title,Gender,City,Gross Salary,Currency,Day Rate,Years of XP,Benefits,What is your employment status?
18/02/2019,FR,DÉVELOPPEUR,H,Toulouse,"33,000 €",EUR,,6,,
18/02/2019,FR,DÉVELOPPEUR,H,Paris,"32,000 €",EUR,,6,"Tickets Restos (50%), 50% transports, primes, mutuelle",CDI 35h
18/02/2019,FR,DÉVELOPPEUR MOBILE,H,Bordeaux,"42,000 €",EUR,,8,,
18/02/2019,FR,DÉVELOPPEUR MOBILE,H,Paris,"42,000 €",EUR,,3,"Mutuelle, 50% transport, intéressement, tickets resto, primes","CDI, 39h"
06/03/2019,FR,DÉVELOPPEUR MOBILE,H,Paris,"42,000 €",EUR,,3,"Mutuelle, PEI, PERCOI",CDI
18/02/2019,FR,DÉVELOPPEUR MOBILE,H,Paris,"42,000 €",EUR,,5,"mutuelle, tickets restos, 50% titres transport, intéressement (BSPCE), cooptation",
18/02/2019,FR,DIRECTEUR ARTISTIQUE,F,Paris,"20,000 €",EUR,,7, ,CDD
18/02/2019,FR,DIRECTEUR CRÉATIF,H,Paris,"60,000 €",EUR,,8,"gérant de SARL, donc pas d'avantages ni chômage. seul avantage : liberté !",
18/02/2019,FR,DIRECTEUR CRÉATIF,H,Paris,va,EUR,,7,"50% transport, mutuelle, fruits",CDI
21/02/2019,FR,DIRECTEUR DESIGN,H,Montpellier,"46,000 €",EUR,,13,"TR, Mutuelle, HS payées, 50% transport, Primes renta éventuelles, RTT (1/mois)",CDI - Cadre - 35h
22/02/2018,FR,DIRECTEUR TECHNIQUE,H,Nantes,"28,000€",EUR,,4,Tickets Resto,CDI 35h
05/06/2021,FR,DIRECTEUR TECHNIQUE,H,,"54,000€",EUR,,9,"Ticket Resto, primes, heures sup, 50% transports, Mutuelle",CDI 39h
19/02/2019,FR,ECONOMIC DESIGNER,H,Lyon,"24,500 €",EUR,,2,"Trasport 50%, Mutelle, Ticket Resto",CDD
