Timestamp,Survey,Job Title,What is your employment status?,City,Gross Salary,Currency,What percentage salary increase did you receive in July 2020?,Additional Comments,What was your most recent performance rating?,Sector
7/31/2020 16:30:11,BL,,Full Time Employee,Irvine,153000,USD,2,"I’m earning net 8% less than I did in 2016 due to a promotion that took me from hourly to salary, and the company not once making bonus performance targets since then. ",Successful,AAA
7/31/2020 16:30:51,BL,3D Artist,Full Time Employee,Irvine,"82,000",USD,2,,Successful,AAA
7/31/2020 16:30:51,BL,Associate Product Manager,Full Time Employee,Irvine,67672,USD,0,,Successful,AAA
7/31/2020 16:32:35,BL,Senior Software Engineer I,Full Time Employee,Irvine,"135,000",USD,2.5,"I took a reduction in role to come here, and have had time in seat used against me to argue against a promotion",Successful,AAA
7/31/2020 16:32:43,BL,Test Analyst,Full Time Employee,Irvine,"61,526",USD,1,"I've been at Blizzard for 16 years from QA, to Cineimatics, to Heroes of the Storm, and then back to QA after the cut. My salary, I feel, should be much higher especially after those 10+ years in an Animation Development position. ",Successful,AAA
7/31/2020 16:33:13,BL,Test Analyst ,Full Time Employee,Irvine,$24,USD,3,,Successful,AAA
7/31/2020 16:34:17,BL,Associate 3D Artist,Full Time Employee,Irvine,"62,000",USD,3.5,,,AAA
7/31/2020 16:37:51,BL,VFX Artist,Full Time Employee,Irvine,85000,USD,9.5,Promoted from associate,High,AAA
7/31/2020 16:38:41,BL,,Full Time Employee,Irvine,92k,USD,7,This came with a title adjustment and movement to salaried which means I'll most likely be making less money in 2021.,Top,AAA
7/31/2020 16:38:45,BL,Associate Software Engineer in Test,Full Time Employee,Irvine,80496,USD,5.4,,High,AAA
7/31/2020 16:39:27,BL,Test Analyst,Full Time Employee,Irvine,52416,USD,1.2,,Successful,AAA
7/31/2020 16:40:15,BL,Technical test analyst,Full Time Employee,Irvine,68k/ yr,USD,1.3,,Successful,AAA
7/31/2020 16:40:56,BL,Test Analyst,Full Time Employee,Irvine,"49,442",USD,3,,High,AAA
7/31/2020 16:41:39,BL,3D Artist,Full Time Employee,Irvine,79000,USD,,increase was between 3-4%. My increase this year was ~20 cents higher than last year.,Successful,AAA
7/31/2020 16:42:10,BL,Senior Test Analyst 1,Full Time Employee,Irvine,29.20/hr,USD,1.5,,Successful,AAA
7/31/2020 16:43:09,BL,Senior Designer II,Full Time Employee,Irvine,"$135,124",USD,4.5,,High,AAA
7/31/2020 16:43:19,BL,Project Manager,Full Time Employee,Irvine,90000,USD,7.4,I started at a GM in 2008 with $9.50 an hour,Successful,AAA
7/31/2020 16:43:32,BL,Senior Designer II,Full Time Employee,Irvine,"$154,000",USD,2,,Successful,AAA
7/31/2020 16:44:13,BL,Senior Test Analyst I,Full Time Employee,Irvine,"$61,194",USD,1.5,,Successful,AAA
7/31/2020 16:44:55,BL,Test Analyst,Full Time Employee,Irvine,56000,USD,0,New hire for 2020,Successful,AAA
7/31/2020 16:46:15,BL,Senior Test Analyst II,Full Time Employee,Irvine,66019,USD,10,,Top,AAA
7/31/2020 16:46:34,BL,Anonymous,Full Time Employee,Irvine,Anonymous,USD,1,,High,AAA
7/31/2020 16:46:58,BL,Associate Technical Test Analyst,Full Time Employee,Irvine,"69,950",USD,1.2,"I received a 1 dollar raise for my merit last year. This year, after these ""compensation improvements"" and performing even better than I did last year, I was awarded an additional 42 cents. Less than half of what I got last year. This is disgusting. Absolutely disgusting and insulting to the highest degree. Activision Blizzard should be absolutely ashamed, and the individuals and executives responsible for approving this and allowing this to happen need to be held accountable.",High,AAA
7/31/2020 16:50:04,BL,Customer Support,Full Time Employee,Austin,$16.34,USD,1,Near smack dab in the middle of my pay band,Successful,AAA
7/31/2020 16:51:51,BL,Technical Manager,Full Time Employee,Irvine,43.5,USD,,,,AAA
7/31/2020 16:52:04,BL,Senior Designer I,Full Time Employee,Irvine,"107,000",USD,17,promoted this cycle,High,AAA
7/31/2020 16:54:18,BL,Test Analyst,Full Time Employee,Irvine,24.31,USD,1.2,Bumped to 24.01 from 16.50 by competing offer in 2019,Successful,AAA
7/31/2020 16:54:42,BL,Senior Artist I,Full Time Employee,Irvine,"100,000",USD,,,,AAA
7/31/2020 16:56:11,BL,Game Designer,Full Time Employee,Irvine,"86,340 (41.51/hr)",USD,3.5,,,AAA
7/31/2020 17:02:31,BL,Test Analyst,Full Time Employee,Irvine,"$50,045 / $24",USD,4,,High,AAA
7/31/2020 17:03:44,BL,Cinematic Animator - Temp,Contractor,Irvine,$50/hour,USD,0,"Temps in SFD don't actually get performance reviews, so I rated myself as ""Successful"" because that's the level I assume I'd be at based on the 1:1s I've received.",Successful,AAA
7/31/2020 17:05:33,BL,Program Manager,Full Time Employee,Irvine,"$98,495",USD,1,,Successful,AAA
7/31/2020 17:07:56,BL,Test Analyst,Full Time Employee,Irvine,"$22.27/h, $46.3k annual",USD,1.5,,Successful,AAA
7/31/2020 17:12:37,BL,,Full Time Employee,Irvine,153000,USD,2,"I’m earning net 8% less than I did in 2016 due to a promotion that took me from hourly to salary, and the company not once making bonus performance targets since then. ",Successful,AAA
7/31/2020 17:15:38,BL,3d artist,Full Time Employee,Irvine,78k,USD,,,,AAA
7/31/2020 17:19:09,BL,Test Analyst,Full Time Employee,Irvine,52000,USD,3,,High,AAA
7/31/2020 17:21:17,BL,Senior QA Analyst 1,Full Time Employee,Irvine,73570,USD,3,Last year as a high performer I received a 2.9% increase. Anecdotally it seems very weird to have the merit increase from high to top be 0.1% pay.,Top,AAA
7/31/2020 17:32:47,BL,senior producer 1,Full Time Employee,Irvine,120000,USD,6,promotion,High,AAA
7/31/2020 17:32:55,BL,Senior Test Analyst,Full Time Employee,Irvine,26.67,USD,10,,Top,AAA
7/31/2020 17:33:19,BL,Game Producer,Full Time Employee,Irvine,"102,856",USD,4,,High,AAA
7/31/2020 17:34:26,BL,Senior Software Engineer I,Full Time Employee,Irvine,153900,USD,2.6,,High,AAA
7/31/2020 17:41:21,BL,Associate Product Manager,Full Time Employee,Irvine,"83,970",USD,10.5,"I got a new title for 2020. Went from Assc Program Manager to Assc Product Manager, which is probably what the 10.5% increase reflects (a change in pay band type). Not sure how educational credentials impact pay at AB but I have a MBA.",High,AAA
7/31/2020 17:41:27,BL,Associate Operations Administrator,Full Time Employee,Irvine,33.95/hr,USD,1.3,,,AAA
7/31/2020 17:41:53,BL,Associate Artist,Full Time Employee,Irvine,"$72,000",USD,3,,,AAA
7/31/2020 17:45:15,BL,Senior Software Engineer I,Full Time Employee,Irvine,121000,USD,,,Successful,AAA
7/31/2020 17:50:49,BL,Test Analyst,Full Time Employee,Irvine,$24.49/hr,USD,1.2,Been here for 12 years and have never been below average or low performer.,Successful,AAA
7/31/2020 17:59:31,BL,Senior Test Lead,Full Time Employee,Irvine,"$90,000.00",USD,20,,High,AAA
7/31/2020 17:59:33,BL,,Full Time Employee,Irvine,"82,000",USD,2.5,Role is not on game dev team,High,AAA
7/31/2020 18:07:01,BL,,Full Time Employee,Irvine,195000,USD,2,Currently hold the highest title in my team with a couple others.,High,AAA
7/31/2020 18:09:44,BL,"Analyst, Threat Intelligence and Partner Services",Full Time Employee,Irvine,"66,310",USD,2,I will share in Slack when I collect my history.,Top,AAA
7/31/2020 18:31:39,BL,Associate Software Engineer,Full Time Employee,Irvine,"86,000",USD,,,,AAA
7/31/2020 18:32:22,BL,Software Engineer,Full Time Employee,Irvine,117000,USD,3,,Successful,AAA
7/31/2020 18:32:49,BL,Sr. Project Manager I,Full Time Employee,Irvine,151000,USD,2.1,,Successful,AAA
7/31/2020 18:43:03,BL,Associate Concept Artist,Full Time Employee,Irvine,75000,USD,,,,AAA
7/31/2020 19:06:04,BL,Associate UX Designer,Full Time Employee,Irvine,87900,USD,6,,Successful,AAA
7/31/2020 19:17:23,BL,Level Designer,Full Time Employee,Irvine,88400,USD,2.5,,High,AAA
7/31/2020 19:27:42,BL,Level Designer,Full Time Employee,Irvine,"78,957",USD,3,,High,AAA
